locality,lon,lat,Age,region,Country,group.name
A,7.304167,39.195,Zanclean,Western Mediterranean,Spain,planktic_foraminifera
371 (Balearic basin),5.254167,37.931333,Zanclean,Western Mediterranean,offshore,nanoplankton
372 (Balearic basin),4.7965,41.031,pre-evaporitic Messinian,Western Mediterranean,offshore,nanoplankton
372 (Balearic basin),4.7965,41.031,Zanclean,Western Mediterranean,offshore,nanoplankton
374 (Ionian Basin),18.196333,35.847833,Zanclean,Eastern Mediterranean,offshore,nanoplankton
375 (Antalya Basin),30.759667,34.762333,pre-evaporitic Messinian,Eastern Mediterranean,offshore,nanoplankton
375 (Antalya Basin),30.759667,34.762333,Zanclean,Eastern Mediterranean,offshore,nanoplankton
375 (Antalya Basin),30.759667,34.762333,Tortonian,Eastern Mediterranean,offshore,nanoplankton
375 (Levantine Sea),30.759667,34.762333,Tortonian,Eastern Mediterranean,Cyprus,planktic_foraminifera
376 (Antalya Basin),31.8075,34.872,pre-evaporitic Messinian,Eastern Mediterranean,offshore,nanoplankton
376 (Antalya Basin),31.8075,34.872,Zanclean,Eastern Mediterranean,offshore,nanoplankton
376 (Florence Rise),31.8075,34.872,Zanclean,Eastern Mediterranean,Cyprus,ostracods
378 (Aegean Sea),25.116167,35.9445,Zanclean,Eastern Mediterranean,offshore,ostracods
378 (Aegean Sea),25.116167,35.9445,Zanclean,Eastern Mediterranean,offshore,nanoplankton
652A (Tyrrhenian Sea),13.052778,40.020278,Zanclean,Western Mediterranean,Italy,benthic_foraminifera
652A (Tyrrhenian Sea),13.052778,40.020278,Zanclean,Western Mediterranean,Italy,nanoplankton
653A (Tyrrhenian Sea),10.9775,40.012778,Zanclean,Western Mediterranean,offshore,nanoplankton
654A (Tyrrhenian Sea),10.612222,40.434444,Tortonian,Western Mediterranean,offshore,planktic_foraminifera
654A (Tyrrhenian Sea),10.612222,40.434444,pre-evaporitic Messinian,Western Mediterranean,offshore,planktic_foraminifera
654A (Tyrrhenian Sea),10.612222,40.434444,Zanclean,Western Mediterranean,offshore,nanoplankton
966 hole D,32.8,34.26,Zanclean,Eastern Mediterranean,offshore,nanoplankton
967 (Eratosthenes Sea Mount),32.716667,34.066667,Zanclean,Eastern Mediterranean,Cyprus,planktic_foraminifera
969 (Mediterranean Ridge),24.770833,33.888333,Zanclean,Eastern Mediterranean,offshore,nanoplankton
969 (Mediterranean Ridge),24.770833,33.888333,Zanclean,Eastern Mediterranean,offshore,planktic_foraminifera
969B (East Med.),24.882967,33.84115,Zanclean,Eastern Mediterranean,offshore,nanoplankton
974B (Tyrrhenian Sea),12.142,40.356,Zanclean,Western Mediterranean,offshore,nanoplankton
975B (Thyrrenian Sea),4.51,38.896667,Zanclean,Western Mediterranean,France,benthic_foraminifera
975B (Thyrrenian Sea),4.51,38.896667,Zanclean,Western Mediterranean,France,nanoplankton
976B (Alboran Sea),4.312717,36.205217,Tortonian,Western Mediterranean,offshore,nanoplankton
976B (Alboran Sea),4.312717,36.205217,Tortonian,Western Mediterranean,offshore,benthic_foraminifera
976B (Alboran Sea),4.312717,36.205217,pre-evaporitic Messinian,Western Mediterranean,offshore,benthic_foraminifera
976B (Alboran Sea),4.312717,36.205217,pre-evaporitic Messinian,Western Mediterranean,offshore,nanoplankton
976B (Alboran Sea),4.312717,36.205217,Zanclean,Western Mediterranean,offshore,nanoplankton
976B (Alboran Sea),4.312717,36.205217,Zanclean,Western Mediterranean,offshore,planktic_foraminifera
976E (Balearic Sea),4.3124,36.205383,Zanclean,Western Mediterranean,offshore,nanoplankton
977 (Alboran Sea),1.955317,36.031783,Zanclean,Western Mediterranean,offshore,nanoplankton
978A (Alboran Sea),2.057067,36.231117,pre-evaporitic Messinian,Western Mediterranean,offshore,nanoplankton
978A (Alboran Sea),2.057067,36.231117,Zanclean,Western Mediterranean,offshore,planktic_foraminifera
Abbeveratoio (Sicily),13.98940409,37.68900936,Zanclean,Eastern Mediterranean,Italy,planktic_foraminifera
Adana,35.330828,36.991419,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,ostracods
Adana,35.330828,36.991419,Tortonian,Eastern Mediterranean,Turkey,ostracods
Adana 1,35.238056,37.074167,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,ostracods
Adana 1,35.238056,37.074167,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,nanoplankton
Adraktia (Crete),25.036169,35.149994,Tortonian,Eastern Mediterranean,Greece,gastropods
Aegina,23.246889,37.807967,Tortonian,Eastern Mediterranean,Greece,echinoids
Aegina,23.246889,37.807967,Zanclean,Eastern Mediterranean,Greece,fish
Afrata,23.767589,35.573731,Tortonian,Eastern Mediterranean,Greece,marine_mammals
Agia Triada (Messinia),21.937358,36.809303,Zanclean,Eastern Mediterranean,Greece,bivalves
Agia Triada (Messinia),21.937358,36.809303,Zanclean,Eastern Mediterranean,Greece,fish
Agia Triada (Messinia),21.937358,36.809303,Zanclean,Eastern Mediterranean,Greece,gastropods
Agia Triada (Messinia),21.937358,36.809303,Zanclean,Eastern Mediterranean,Greece,planktic_foraminifera
Agioi Anargyroi_Ai Lias (Crete),25.356669,35.233478,Tortonian,Eastern Mediterranean,Greece,gastropods
Agios Ioannis (Gavdos),24.084478,34.867747,Tortonian,Eastern Mediterranean,Greece,corals
Agios Ioannis (Gavdos),24.084478,34.867747,Tortonian,Eastern Mediterranean,Greece,planktic_foraminifera
Agios Kosmas,21.25019904,40.15217888,Tortonian,Eastern Mediterranean,Greece,ostracods
Agios Myron (Crete),25.0273056,35.2328889,pre-evaporitic Messinian,Eastern Mediterranean,Greece,fish
Agios Myron (Crete),25.0273056,35.2328889,pre-evaporitic Messinian,Eastern Mediterranean,Greece,planktic_foraminifera
Agios Sostis (Zakynthos),20.861911,37.714019,Tortonian,Eastern Mediterranean,Greece,dinocysts
Agios Sostis (Zakynthos),20.861911,37.714019,pre-evaporitic Messinian,Eastern Mediterranean,Greece,dinocysts
Agios Sostis (Zakynthos),20.861911,37.714019,Zanclean,Eastern Mediterranean,Greece,dinocysts
Agios Stefanos (Corfu),19.641683,39.753958,Zanclean,Eastern Mediterranean,Greece,planktic_foraminifera
Agios Tychon (Khalassa subbasin),33.142564,34.724272,Tortonian,Eastern Mediterranean,Greece,gastropods
Agios Vlassis (Crete),25.132472,35.255042,Zanclean,Eastern Mediterranean,Greece,planktic_foraminifera
Agua Amarga Basin (Almeria),1.934261,36.938247,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Ahermoumou_El Menzel_Arham Amellal,4.414689,33.820661,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Ain Bou M'Saad (Taza_Guercif Basin),3.291667,34.181389,Tortonian,Western Mediterranean,Morocco,corals
Ain ed Dehane (Lower Chelif Basin),6.590836,36.335453,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Ain ed Dehane (Lower Chelif Basin),6.590836,36.335453,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Lorna 1 (Sais Basin),-4.958074,33.934832,Tortonian,Western Mediterranean,Morocco,bivalves
Ain Lorna 2 (Sais Basin),-4.958074,33.934832,Tortonian,Western Mediterranean,Morocco,bivalves
Ain Temouchent,1.139281,35.299269,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Zitoun (Beni Ouarsous),7.015742,35.712992,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Zohra,3.523092,34.681908,Tortonian,Western Mediterranean,Morocco,corals
Ait Amar (Melilla Basin),-3.021431097,35.20219821,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Ait Hossein (Segangane Basin),-3.00771109,35.15065366,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Aksu,30.766639,37.088986,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,corals
Aktepe (Hatay Graben),36.08597333,36.20008247,Zanclean,Eastern Mediterranean,Turkey,bivalves
Aktepe (Hatay Graben),36.08597333,36.20008247,Zanclean,Eastern Mediterranean,Turkey,gastropods
Al Khmus,14.2679,32.65095,Tortonian,Eastern Mediterranean,Libya,ostracods
Al Khmus,14.2679,32.65095,pre-evaporitic Messinian,Eastern Mediterranean,Libya,ostracods
Al Khmus,14.2679,32.65095,Zanclean,Eastern Mediterranean,Libya,sharks
Alba (Piedmont),8.035692,44.700914,Tortonian,Po Plain-Northern Adriatic,Italy,fish
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,bivalves
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,fish
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,gastropods
